sample	bigwigPath	Group_label	strand
SRR4081222	../code/rna_seq/bigwigs/unstranded/SRR4081222.bw	Colombo.SM67_and_SMG7_vs_Scramble.Control	.
SRR4081223	../code/rna_seq/bigwigs/unstranded/SRR4081223.bw	Colombo.SM67_and_SMG7_vs_Scramble.Control	.
SRR4081224	../code/rna_seq/bigwigs/unstranded/SRR4081224.bw	Colombo.SM67_and_SMG7_vs_Scramble.Control	.
SRR4081237	../code/rna_seq/bigwigs/unstranded/SRR4081237.bw	Colombo.SM67_and_SMG7_vs_Scramble.Control	.
SRR4081238	../code/rna_seq/bigwigs/unstranded/SRR4081238.bw	Colombo.SM67_and_SMG7_vs_Scramble.Control	.
SRR4081239	../code/rna_seq/bigwigs/unstranded/SRR4081239.bw	Colombo.SM67_and_SMG7_vs_Scramble.Control	.
SRR4081246	../code/rna_seq/bigwigs/unstranded/SRR4081246.bw	Colombo.SM67_and_SMG7_vs_Scramble.NMD_enriched	.
SRR4081247	../code/rna_seq/bigwigs/unstranded/SRR4081247.bw	Colombo.SM67_and_SMG7_vs_Scramble.NMD_enriched	.
SRR4081248	../code/rna_seq/bigwigs/unstranded/SRR4081248.bw	Colombo.SM67_and_SMG7_vs_Scramble.NMD_enriched	.
SRR4081222	../code/rna_seq/bigwigs/unstranded/SRR4081222.bw	Colombo.UPF1_vs_Scramble.Control	.
SRR4081223	../code/rna_seq/bigwigs/unstranded/SRR4081223.bw	Colombo.UPF1_vs_Scramble.Control	.
SRR4081224	../code/rna_seq/bigwigs/unstranded/SRR4081224.bw	Colombo.UPF1_vs_Scramble.Control	.
SRR4081237	../code/rna_seq/bigwigs/unstranded/SRR4081237.bw	Colombo.UPF1_vs_Scramble.Control	.
SRR4081238	../code/rna_seq/bigwigs/unstranded/SRR4081238.bw	Colombo.UPF1_vs_Scramble.Control	.
SRR4081239	../code/rna_seq/bigwigs/unstranded/SRR4081239.bw	Colombo.UPF1_vs_Scramble.Control	.
SRR4081225	../code/rna_seq/bigwigs/unstranded/SRR4081225.bw	Colombo.UPF1_vs_Scramble.NMD_enriched	.
SRR4081226	../code/rna_seq/bigwigs/unstranded/SRR4081226.bw	Colombo.UPF1_vs_Scramble.NMD_enriched	.
SRR4081227	../code/rna_seq/bigwigs/unstranded/SRR4081227.bw	Colombo.UPF1_vs_Scramble.NMD_enriched	.
SRR2313090	../code/rna_seq/bigwigs/unstranded/SRR2313090.bw	Darman_Cycloxhexamide_vs_DMSO.Control	.
SRR2313091	../code/rna_seq/bigwigs/unstranded/SRR2313091.bw	Darman_Cycloxhexamide_vs_DMSO.Control	.
SRR2313092	../code/rna_seq/bigwigs/unstranded/SRR2313092.bw	Darman_Cycloxhexamide_vs_DMSO.Control	.
SRR2313096	../code/rna_seq/bigwigs/unstranded/SRR2313096.bw	Darman_Cycloxhexamide_vs_DMSO.NMD_enriched	.
SRR2313097	../code/rna_seq/bigwigs/unstranded/SRR2313097.bw	Darman_Cycloxhexamide_vs_DMSO.NMD_enriched	.
SRR2313098	../code/rna_seq/bigwigs/unstranded/SRR2313098.bw	Darman_Cycloxhexamide_vs_DMSO.NMD_enriched	.
UnpubFractionation_jurkat_cyt_0h_1	../code/rna_seq/bigwigs/unstranded/UnpubFractionation_jurkat_cyt_0h_1.bw	DylanUnpublishedFractionation.JurkatNuclear_vs_Cytoplasmic.Control	.
UnpubFractionation_jurkat_cyt_0h_2	../code/rna_seq/bigwigs/unstranded/UnpubFractionation_jurkat_cyt_0h_2.bw	DylanUnpublishedFractionation.JurkatNuclear_vs_Cytoplasmic.Control	.
UnpubFractionation_jurkat_cyt_0h_3	../code/rna_seq/bigwigs/unstranded/UnpubFractionation_jurkat_cyt_0h_3.bw	DylanUnpublishedFractionation.JurkatNuclear_vs_Cytoplasmic.Control	.
UnpubFractionation_jurkat_nuc_0h_1	../code/rna_seq/bigwigs/unstranded/UnpubFractionation_jurkat_nuc_0h_1.bw	DylanUnpublishedFractionation.JurkatNuclear_vs_Cytoplasmic.NMD_enriched	.
UnpubFractionation_jurkat_nuc_0h_2	../code/rna_seq/bigwigs/unstranded/UnpubFractionation_jurkat_nuc_0h_2.bw	DylanUnpublishedFractionation.JurkatNuclear_vs_Cytoplasmic.NMD_enriched	.
UnpubFractionation_jurkat_nuc_0h_3	../code/rna_seq/bigwigs/unstranded/UnpubFractionation_jurkat_nuc_0h_3.bw	DylanUnpublishedFractionation.JurkatNuclear_vs_Cytoplasmic.NMD_enriched	.
UnpubFractionation_jurkat_nuc_0h_4	../code/rna_seq/bigwigs/unstranded/UnpubFractionation_jurkat_nuc_0h_4.bw	DylanUnpublishedFractionation.JurkatNuclear_vs_Cytoplasmic.NMD_enriched	.
UnpubFractionation_LCL_12878_Cyt	../code/rna_seq/bigwigs/unstranded/UnpubFractionation_LCL_12878_Cyt.bw	DylanUnpublishedFractionation.LCLNuclear_vs_Cytoplasmic.Control	.
UnpubFractionation_LCL_18504_Cyt	../code/rna_seq/bigwigs/unstranded/UnpubFractionation_LCL_18504_Cyt.bw	DylanUnpublishedFractionation.LCLNuclear_vs_Cytoplasmic.Control	.
UnpubFractionation_LCL_18507_Cyt	../code/rna_seq/bigwigs/unstranded/UnpubFractionation_LCL_18507_Cyt.bw	DylanUnpublishedFractionation.LCLNuclear_vs_Cytoplasmic.Control	.
UnpubFractionation_LCL_12878_Nuc	../code/rna_seq/bigwigs/unstranded/UnpubFractionation_LCL_12878_Nuc.bw	DylanUnpublishedFractionation.LCLNuclear_vs_Cytoplasmic.NMD_enriched	.
UnpubFractionation_LCL_18504_Nuc	../code/rna_seq/bigwigs/unstranded/UnpubFractionation_LCL_18504_Nuc.bw	DylanUnpublishedFractionation.LCLNuclear_vs_Cytoplasmic.NMD_enriched	.
UnpubFractionation_LCL_18507_Nuc	../code/rna_seq/bigwigs/unstranded/UnpubFractionation_LCL_18507_Nuc.bw	DylanUnpublishedFractionation.LCLNuclear_vs_Cytoplasmic.NMD_enriched	.
UnpubFractionation_SH_SY5Y_5_Cyt	../code/rna_seq/bigwigs/unstranded/UnpubFractionation_SH_SY5Y_5_Cyt.bw	DylanUnpublishedFractionation.SH-SY5YNuclear_vs_Cytoplasmic.Control	.
UnpubFractionation_SH_SY5Y_6_Cyt	../code/rna_seq/bigwigs/unstranded/UnpubFractionation_SH_SY5Y_6_Cyt.bw	DylanUnpublishedFractionation.SH-SY5YNuclear_vs_Cytoplasmic.Control	.
UnpubFractionation_SH_SY5Y_7_Cyt	../code/rna_seq/bigwigs/unstranded/UnpubFractionation_SH_SY5Y_7_Cyt.bw	DylanUnpublishedFractionation.SH-SY5YNuclear_vs_Cytoplasmic.Control	.
UnpubFractionation_SH_SY5Y_5_Nuc	../code/rna_seq/bigwigs/unstranded/UnpubFractionation_SH_SY5Y_5_Nuc.bw	DylanUnpublishedFractionation.SH-SY5YNuclear_vs_Cytoplasmic.NMD_enriched	.
UnpubFractionation_SH_SY5Y_6_Nuc	../code/rna_seq/bigwigs/unstranded/UnpubFractionation_SH_SY5Y_6_Nuc.bw	DylanUnpublishedFractionation.SH-SY5YNuclear_vs_Cytoplasmic.NMD_enriched	.
